Sample,0,1,2,3,4,5
Sc_Pd,-5.825315624,-20.13360136,-6.019181386,-4.727539449,0.59628788,-4.125958072
Sc_Hf,-2.249096236,-2.608993601,1.482096922,-3.441933645,3.280832295,2.106203662
Sc_Ta,-0.48038987,0.93883776,1.539279656,-2.548706918,2.460559367,2.501473504
Sc_W,-1.728350331,-0.353135084,-0.708137793,-3.339202563,-0.983857753,1.623015508
Sc_Re,-1.487624207,-0.931926049,-1.987870498,-4.735062881,-0.179997266,1.438747298
Sc_Pt,-9.359534794,-17.24485058,-10.40434358,-11.00647982,-8.415323261,-4.13706685
Ti_V,6.299307776,9.130471885,4.139963819,1.221039723,8.139488078,4.146480619
Ti_Cr,3.310562214,4.667291876,2.169460854,-0.708641155,5.00597067,2.674087379
Ti_Mn,-0.50288068,-3.987557073,-3.306368962,-3.417170034,2.652142392,-0.362958238
Ti_Fe,-1.806775505,-2.263845569,-2.622445046,-5.111302758,0.848686198,-0.026385398
Ti_Y,-4.345544114,-7.01894094,1.500600401,-4.333650067,1.779188104,1.231248207
Ti_Zr,-1.725590136,-6.086486824,0.0824346,-5.459425256,2.307406702,0.398886684
Ti_Nb,1.352271114,0.524809636,2.110964081,-2.332862598,3.661793252,2.325515765
Ti_Rh,4.725009861,-14.7435859,1.602027788,7.972622676,13.3368629,1.261134341
Ti_Pd,2.070287768,4.970452869,-0.478504943,1.083780818,6.355683658,0.903869721
Ti_Hf,-3.232384918,-10.97879988,-0.368874575,-7.306336174,2.930828079,0.1773479
Ti_Ta,0.355406774,-3.022851215,1.274298469,-4.112827282,4.067746351,1.796020121
Ti_W,0.175663592,0.914868785,1.013722311,-2.119611776,2.03321892,2.252027535
Ti_Re,0.333093179,-0.31525894,0.923143305,-2.856176847,4.181306736,2.400502134
Ti_Os,-2.723703953,-4.20837475,-0.420556068,-3.038151765,0.383939033,0.957864333
Ti_Ir,-4.886615222,-7.771357418,-3.465575402,-4.815319189,-2.694455849,-0.557711115
