Sample,Z_1,Z_2,Z_,Z+,Nmen_1,Nmen_2,Nmen_,Nmen+,X_1,X_2,X_,X+,ε_1,ε_2,ε_,ε+,dband_1,dband_2,dband_,dband+,HOMO_1,HOMO_2,HOMO_,HOMO+,LUMO_1,LUMO_2,LUMO_,LUMO+,R_1,R_2,R_,R+,Rp_1,Rp_2,Rp_,Rp+,Rv_1,Rv_2,Rv_,Rv+,E
Pt_Ir,78,77,0.5,77.5,63,60,1.5,61.5,2.28,2.2,0.04,2.24,2.13,1.57,0.28,1.85,-1.23,-2.48,0.625,-1.855,-5.31,-5.69,0.19,-5.5,0.82,0.51,0.155,0.665,1.77,1.8,0.015,1.785,1.47,1.47,0,1.47,0.67,0.69,0.01,0.68,0.89
Rh_W,45,74,14.5,59.5,59,51,4,55,2.28,2.36,0.04,2.32,1.14,0.82,0.16,0.98,-1.9,1.69,1.795,-0.105,-3.5,-4.49,0.495,-3.995,-3.32,-0.37,1.475,-1.845,1.73,1.93,0.1,1.83,1.5,1.61,0.055,1.555,0.61,0.79,0.09,0.7,0.49
Ir_Re,77,75,1,76,60,54,3,57,2.2,1.9,0.15,2.05,1.57,0.15,0.71,0.86,-2.48,1.33,1.905,-0.575,-5.69,-5.37,0.16,-5.53,0.51,-0.27,0.39,0.12,1.8,1.88,0.04,1.84,1.47,1.55,0.04,1.51,0.69,0.75,0.03,0.72,0.55
Au_Ti,79,22,28.5,50.5,66,43,11.5,54.5,2.54,1.54,0.5,2.04,2.31,0.08,1.115,1.195,-2.82,2.79,2.805,-0.015,-5.75,-4.25,0.75,-5,0.7,-0.17,0.435,0.265,1.74,1.76,0.01,1.75,1.44,1.54,0.05,1.49,1.23,0.52,0.355,0.875,0.61
Ir_Mo,77,42,17.5,59.5,60,50,5,55,2.2,2.16,0.02,2.18,1.57,0.75,0.41,1.16,-2.48,1.54,2.01,-0.47,-5.69,-4.32,0.685,-5.005,0.51,-0.13,0.32,0.19,1.8,1.9,0.05,1.85,1.47,1.66,0.095,1.565,0.69,0.73,0.02,0.71,0.72
Ir_Ta,77,73,2,75,60,48,6,54,2.2,1.5,0.35,1.85,1.57,0.32,0.625,0.945,-2.48,3.22,2.85,0.37,-5.69,-3.6,1.045,-4.645,0.51,-0.44,0.475,0.035,1.8,2,0.1,1.9,1.47,1.66,0.095,1.565,0.69,0.84,0.075,0.765,0.5
Mn_V,25,23,1,24,52,46,3,49,1.55,1.63,0.04,1.59,0,0.52,0.26,0.26,-0.37,3.73,2.05,1.68,-4.4,-4.47,0.035,-4.435,1.83,0.13,0.85,0.98,1.61,1.71,0.05,1.66,1.26,1.47,0.105,1.365,0.41,0.48,0.035,0.445,0.85
Mn_W,25,74,24.5,49.5,52,51,0.5,51.5,1.55,2.36,0.405,1.955,0,0.82,0.41,0.41,-0.37,1.69,1.03,0.66,-4.4,-4.49,0.045,-4.445,1.83,-0.37,1.1,0.73,1.61,1.93,0.16,1.77,1.26,1.61,0.175,1.435,0.41,0.79,0.19,0.6,0.22
Rh_Hf,45,72,13.5,58.5,59,45,7,52,2.28,1.3,0.49,1.79,1.14,0,0.57,0.57,-1.9,3.47,2.685,0.785,-3.5,-2.69,0.405,-3.095,-3.32,-0.48,1.42,-1.9,1.73,2.08,0.175,1.905,1.5,1.73,0.115,1.615,0.61,0.9,0.145,0.755,0.72
Au_Sc,79,21,29,50,66,11,27.5,38.5,2.54,1.36,0.59,1.95,2.31,0.19,1.06,1.25,-2.82,1.05,1.935,-0.885,-5.75,-3.24,1.255,-4.495,0.7,-0.18,0.44,0.26,1.74,1.84,0.05,1.79,1.44,1.62,0.09,1.53,1.23,0.58,0.325,0.905,0.2
Ir_Co,77,27,25,52,60,58,1,59,2.2,1.88,0.16,2.04,1.57,0.66,0.455,1.115,-2.48,-1.39,0.545,-1.935,-5.69,-4.41,0.64,-5.05,0.51,0.24,0.135,0.375,1.8,1.52,0.14,1.66,1.47,1.61,0.07,1.54,0.69,0.36,0.165,0.525,1
Ru_Nb,44,41,1.5,42.5,56,47,4.5,51.5,2.2,1.6,0.3,1.9,1.05,0.89,0.08,0.97,0.47,3.59,1.56,2.03,-3.6,-4.62,0.51,-4.11,1.11,-0.73,0.92,0.19,1.78,1.98,0.1,1.88,1.55,1.73,0.09,1.64,0.65,0.77,0.06,0.71,0.72
Pt_Re,78,75,1.5,76.5,63,54,4.5,58.5,2.28,1.9,0.19,2.09,2.13,0.15,0.99,1.14,-1.23,1.33,1.28,0.05,-5.31,-5.37,0.03,-5.34,0.82,-0.27,0.545,0.275,1.77,1.88,0.055,1.825,1.47,1.55,0.04,1.51,0.67,0.75,0.04,0.71,0.72
Mo_Nb,42,41,0.5,41.5,50,47,1.5,48.5,2.16,1.6,0.28,1.88,0.75,0.89,0.07,0.82,1.54,3.59,1.025,2.565,-4.32,-4.62,0.15,-4.47,-0.13,-0.73,0.3,-0.43,1.9,1.98,0.04,1.94,1.66,1.73,0.035,1.695,0.73,0.77,0.02,0.75,0.5
Co_Ta,27,73,23,50,58,48,5,53,1.88,1.5,0.19,1.69,0.66,0.32,0.17,0.49,-1.39,3.22,2.305,0.915,-4.41,-3.6,0.405,-4.005,0.24,-0.44,0.34,-0.1,1.52,2,0.24,1.76,1.61,1.66,0.025,1.635,0.36,0.84,0.24,0.6,0.56
Pd_Zr,46,40,3,43,62,44,9,53,2.2,1.33,0.435,1.765,0.56,0.43,0.065,0.495,-0.68,2.68,1.68,1,-4.12,-3.6,0.26,-3.86,-3.43,-0.53,1.45,-1.98,1.69,2.06,0.185,1.875,1.46,1.76,0.15,1.61,0.58,0.84,0.13,0.71,0.31
Mo_W,42,74,16,58,50,51,0.5,50.5,2.16,2.36,0.1,2.26,0.75,0.82,0.035,0.785,1.54,1.69,0.075,1.615,-4.32,-4.49,0.085,-4.405,-0.13,-0.37,0.12,-0.25,1.9,1.93,0.015,1.915,1.66,1.61,0.025,1.635,0.73,0.79,0.03,0.76,0.4
Ru_Os,44,76,16,60,56,57,0.5,56.5,2.2,2.2,0,2.2,1.05,1.1,0.025,1.075,0.47,-0.3,0.385,0.085,-3.6,-6.01,1.205,-4.805,1.11,-0.07,0.59,0.52,1.78,1.85,0.035,1.815,1.55,1.51,0.02,1.53,0.65,0.72,0.035,0.685,0.67
Ru_Ti,44,22,11,33,56,43,6.5,49.5,2.2,1.54,0.33,1.87,1.05,0.08,0.485,0.565,0.47,2.79,1.16,1.63,-3.6,-4.25,0.325,-3.925,1.11,-0.17,0.64,0.47,1.78,1.76,0.01,1.77,1.55,1.54,0.005,1.545,0.65,0.52,0.065,0.585,0.43
Pd_V,46,23,11.5,34.5,62,46,8,54,2.2,1.63,0.285,1.915,0.56,0.52,0.02,0.54,-0.68,3.73,2.205,1.525,-4.12,-4.47,0.175,-4.295,-3.43,0.13,1.78,-1.65,1.69,1.71,0.01,1.7,1.46,1.47,0.005,1.465,0.58,0.48,0.05,0.53,0.52
Os_V,76,23,26.5,49.5,57,46,5.5,51.5,2.2,1.63,0.285,1.915,1.1,0.52,0.29,0.81,-0.3,3.73,2.015,1.715,-6.01,-4.47,0.77,-5.24,-0.07,0.13,0.1,0.03,1.85,1.71,0.07,1.78,1.51,1.47,0.02,1.49,0.72,0.48,0.12,0.6,0.99
Co_Ti,27,22,2.5,24.5,58,43,7.5,50.5,1.88,1.54,0.17,1.71,0.66,0.08,0.29,0.37,-1.39,2.79,2.09,0.7,-4.41,-4.25,0.08,-4.33,0.24,-0.17,0.205,0.035,1.52,1.76,0.12,1.64,1.61,1.54,0.035,1.575,0.36,0.52,0.08,0.44,0.83
Co_Nb,27,41,7,34,58,47,5.5,52.5,1.88,1.6,0.14,1.74,0.66,0.89,0.115,0.775,-1.39,3.59,2.49,1.1,-4.41,-4.62,0.105,-4.515,0.24,-0.73,0.485,-0.245,1.52,1.98,0.23,1.75,1.61,1.73,0.06,1.67,0.36,0.77,0.205,0.565,0.73
Au_Nb,79,41,19,60,66,47,9.5,56.5,2.54,1.6,0.47,2.07,2.31,0.89,0.71,1.6,-2.82,3.59,3.205,0.385,-5.75,-4.62,0.565,-5.185,0.7,-0.73,0.715,-0.015,1.74,1.98,0.12,1.86,1.44,1.73,0.145,1.585,1.23,0.77,0.23,1,0.39
Ir_Sc,77,21,28,49,60,11,24.5,35.5,2.2,1.36,0.42,1.78,1.57,0.19,0.69,0.88,-2.48,1.05,1.765,-0.715,-5.69,-3.24,1.225,-4.465,0.51,-0.18,0.345,0.165,1.8,1.84,0.02,1.82,1.47,1.62,0.075,1.545,0.69,0.58,0.055,0.635,0.95
Rh_Re,45,75,15,60,59,54,2.5,56.5,2.28,1.9,0.19,2.09,1.14,0.15,0.495,0.645,-1.9,1.33,1.615,-0.285,-3.5,-5.37,0.935,-4.435,-3.32,-0.27,1.525,-1.795,1.73,1.88,0.075,1.805,1.5,1.55,0.025,1.525,0.61,0.75,0.07,0.68,0.56
Cr_Nb,24,41,8.5,32.5,49,47,1,48,1.66,1.6,0.03,1.63,0.67,0.89,0.11,0.78,2.7,3.59,0.445,3.145,-4.47,-4.62,0.075,-4.545,0.49,-0.73,0.61,-0.12,1.66,1.98,0.16,1.82,1.41,1.73,0.16,1.57,0.44,0.77,0.165,0.605,0.36
Pd_Ta,46,73,13.5,59.5,62,48,7,55,2.2,1.5,0.35,1.85,0.56,0.32,0.12,0.44,-0.68,3.22,1.95,1.27,-4.12,-3.6,0.26,-3.86,-3.43,-0.44,1.495,-1.935,1.69,2,0.155,1.845,1.46,1.66,0.1,1.56,0.58,0.84,0.13,0.71,0.38
Fe_Zr,26,40,7,33,55,44,5.5,49.5,1.83,1.33,0.25,1.58,0.16,0.43,0.135,0.295,1.44,2.68,0.62,2.06,-4.42,-3.6,0.41,-4.01,-0.53,-0.53,0,-0.53,1.56,2.06,0.25,1.81,1.71,1.76,0.025,1.735,0.38,0.84,0.23,0.61,0.94
Cr_Zr,24,40,8,32,49,44,2.5,46.5,1.66,1.33,0.165,1.495,0.67,0.43,0.12,0.55,2.7,2.68,0.01,2.69,-4.47,-3.6,0.435,-4.035,0.49,-0.53,0.51,-0.02,1.66,2.06,0.2,1.86,1.41,1.76,0.175,1.585,0.44,0.84,0.2,0.64,0.78
V_Ta,23,73,25,48,46,48,1,47,1.63,1.5,0.065,1.565,0.52,0.32,0.1,0.42,3.73,3.22,0.255,3.475,-4.47,-3.6,0.435,-4.035,0.13,-0.44,0.285,-0.155,1.71,2,0.145,1.855,1.47,1.66,0.095,1.565,0.48,0.84,0.18,0.66,0.17
W_Zr,74,40,17,57,51,44,3.5,47.5,2.36,1.33,0.515,1.845,0.82,0.43,0.195,0.625,1.69,2.68,0.495,2.185,-4.49,-3.6,0.445,-4.045,-0.37,-0.53,0.08,-0.45,1.93,2.06,0.065,1.995,1.61,1.76,0.075,1.685,0.79,0.84,0.025,0.815,0.25
Rh_Sc,45,21,12,33,59,11,24,35,2.28,1.36,0.46,1.82,1.14,0.19,0.475,0.665,-1.9,1.05,1.475,-0.425,-3.5,-3.24,0.13,-3.37,-3.32,-0.18,1.57,-1.75,1.73,1.84,0.055,1.785,1.5,1.62,0.06,1.56,0.61,0.58,0.015,0.595,0.75
Ag_Zr,47,40,3.5,43.5,65,44,10.5,54.5,1.93,1.33,0.3,1.63,1.3,0.43,0.435,0.865,-3.39,2.68,3.035,-0.355,-4.4,-3.6,0.4,-4,0.97,-0.53,0.75,0.22,1.65,2.06,0.205,1.855,1.42,1.76,0.17,1.59,1.32,0.84,0.24,1.08,0.31
Mo_V,42,23,9.5,32.5,50,46,2,48,2.16,1.63,0.265,1.895,0.75,0.52,0.115,0.635,1.54,3.73,1.095,2.635,-4.32,-4.47,0.075,-4.395,-0.13,0.13,0.13,0,1.9,1.71,0.095,1.805,1.66,1.47,0.095,1.565,0.73,0.48,0.125,0.605,0.33
Pd_Re,46,75,14.5,60.5,62,54,4,58,2.2,1.9,0.15,2.05,0.56,0.15,0.205,0.355,-0.68,1.33,1.005,0.325,-4.12,-5.37,0.625,-4.745,-3.43,-0.27,1.58,-1.85,1.69,1.88,0.095,1.785,1.46,1.55,0.045,1.505,0.58,0.75,0.085,0.665,0.42
Pt_Nb,78,41,18.5,59.5,63,47,8,55,2.28,1.6,0.34,1.94,2.13,0.89,0.62,1.51,-1.23,3.59,2.41,1.18,-5.31,-4.62,0.345,-4.965,0.82,-0.73,0.775,0.045,1.77,1.98,0.105,1.875,1.47,1.73,0.13,1.6,0.67,0.77,0.05,0.72,0.71
Cu_Ir,29,77,24,53,64,60,2,62,1.9,2.2,0.15,2.05,1.23,1.57,0.17,1.4,-1.6,-2.48,0.44,-2.04,-4.61,-5.69,0.54,-5.15,1.36,0.51,0.425,0.935,1.45,1.8,0.175,1.625,1.25,1.47,0.11,1.36,1.2,0.69,0.255,0.945,0.33
Fe_Re,26,75,24.5,50.5,55,54,0.5,54.5,1.83,1.9,0.035,1.865,0.16,0.15,0.005,0.155,1.44,1.33,0.055,1.385,-4.42,-5.37,0.475,-4.895,-0.53,-0.27,0.13,-0.4,1.56,1.88,0.16,1.72,1.71,1.55,0.08,1.63,0.38,0.75,0.185,0.565,0.87
Cr_W,24,74,25,49,49,51,1,50,1.66,2.36,0.35,2.01,0.67,0.82,0.075,0.745,2.7,1.69,0.505,2.195,-4.47,-4.49,0.01,-4.48,0.49,-0.37,0.43,0.06,1.66,1.93,0.135,1.795,1.41,1.61,0.1,1.51,0.44,0.79,0.175,0.615,0.62
Rh_Ru,45,44,0.5,44.5,59,56,1.5,57.5,2.28,2.2,0.04,2.24,1.14,1.05,0.045,1.095,-1.9,0.47,1.185,-0.715,-3.5,-3.6,0.05,-3.55,-3.32,1.11,2.215,-1.105,1.73,1.78,0.025,1.755,1.5,1.55,0.025,1.525,0.61,0.65,0.02,0.63,0.69
Mn_Ta,25,73,24,49,52,48,2,50,1.55,1.5,0.025,1.525,0,0.32,0.16,0.16,-0.37,3.22,1.795,1.425,-4.4,-3.6,0.4,-4,1.83,-0.44,1.135,0.695,1.61,2,0.195,1.805,1.26,1.66,0.2,1.46,0.41,0.84,0.215,0.625,0.75
Cu_Pd,29,46,8.5,37.5,64,62,1,63,1.9,2.2,0.15,2.05,1.23,0.56,0.335,0.895,-1.6,-0.68,0.46,-1.14,-4.61,-4.12,0.245,-4.365,1.36,-3.43,2.395,-1.035,1.45,1.69,0.12,1.57,1.25,1.46,0.105,1.355,1.2,0.58,0.31,0.89,1.1
Ru_Y,44,39,2.5,41.5,56,12,22,34,2.2,1.22,0.49,1.71,1.05,0.31,0.37,0.68,0.47,1.27,0.4,0.87,-3.6,-2.52,0.54,-3.06,1.11,-0.99,1.05,0.06,1.78,2.12,0.17,1.95,1.55,1.95,0.2,1.75,0.65,0.94,0.145,0.795,0.85
Pd_Rh,46,45,0.5,45.5,62,59,1.5,60.5,2.2,2.28,0.04,2.24,0.56,1.14,0.29,0.85,-0.68,-1.9,0.61,-1.29,-4.12,-3.5,0.31,-3.81,-3.43,-3.32,0.055,-3.375,1.69,1.73,0.02,1.71,1.46,1.5,0.02,1.48,0.58,0.61,0.015,0.595,0.61
Ni_Cr,28,24,2,26,61,49,6,55,1.91,1.66,0.125,1.785,1.16,0.67,0.245,0.915,0.12,2.7,1.29,1.41,-4.39,-4.47,0.04,-4.43,0.51,0.49,0.01,0.5,1.49,1.66,0.085,1.575,1.57,1.41,0.08,1.49,0.34,0.44,0.05,0.39,0.12 
Ru_Hf,44,72,14,58,56,45,5.5,50.5,2.2,1.3,0.45,1.75,1.05,0,0.525,0.525,0.47,3.47,1.5,1.97,-3.6,-2.69,0.455,-3.145,1.11,-0.48,0.795,0.315,1.78,2.08,0.15,1.93,1.55,1.73,0.09,1.64,0.65,0.9,0.125,0.775,0.8
Ni_Zr,28,40,6,34,61,44,8.5,52.5,1.91,1.33,0.29,1.62,1.16,0.43,0.365,0.795,0.12,2.68,1.28,1.4,-4.39,-3.6,0.395,-3.995,0.51,-0.53,0.52,-0.01,1.49,2.06,0.285,1.775,1.57,1.76,0.095,1.665,0.34,0.84,0.25,0.59,0.29 
Cu_Rh,29,45,8,37,64,59,2.5,61.5,1.9,2.28,0.19,2.09,1.23,1.14,0.045,1.185,-1.6,-1.9,0.15,-1.75,-4.61,-3.5,0.555,-4.055,1.36,-3.32,2.34,-0.98,1.45,1.73,0.14,1.59,1.25,1.5,0.125,1.375,1.2,0.61,0.295,0.905,0.37
Pt_Y,78,39,19.5,58.5,63,12,25.5,37.5,2.28,1.22,0.53,1.75,2.13,0.31,0.91,1.22,-1.23,1.27,1.25,0.02,-5.31,-2.52,1.395,-3.915,0.82,-0.99,0.905,-0.085,1.77,2.12,0.175,1.945,1.47,1.95,0.24,1.71,0.67,0.94,0.135,0.805,0.55
Pd_Os,46,76,15,61,62,57,2.5,59.5,2.2,2.2,0,2.2,0.56,1.1,0.27,0.83,-0.68,-0.3,0.19,-0.49,-4.12,-6.01,0.945,-5.065,-3.43,-0.07,1.68,-1.75,1.69,1.85,0.08,1.77,1.46,1.51,0.025,1.485,0.58,0.72,0.07,0.65,0.8
Fe_Ti,26,22,2,24,55,43,6,49,1.83,1.54,0.145,1.685,0.16,0.08,0.04,0.12,1.44,2.79,0.675,2.115,-4.42,-4.25,0.085,-4.335,-0.53,-0.17,0.18,-0.35,1.56,1.76,0.1,1.66,1.71,1.54,0.085,1.625,0.38,0.52,0.07,0.45,0.92
Fe_W,26,74,24,50,55,51,2,53,1.83,2.36,0.265,2.095,0.16,0.82,0.33,0.49,1.44,1.69,0.125,1.565,-4.42,-4.49,0.035,-4.455,-0.53,-0.37,0.08,-0.45,1.56,1.93,0.185,1.745,1.71,1.61,0.05,1.66,0.38,0.79,0.205,0.585,0.74
Ni_Y,28,39,5.5,33.5,61,12,24.5,36.5,1.91,1.22,0.345,1.565,1.16,0.31,0.425,0.735,0.12,1.27,0.575,0.695,-4.39,-2.52,0.935,-3.455,0.51,-0.99,0.75,-0.24,1.49,2.12,0.315,1.805,1.57,1.95,0.19,1.76,0.34,0.94,0.3,0.64,0.17
Ni_Mo,28,42,7,35,61,50,5.5,55.5,1.91,2.16,0.125,2.035,1.16,0.75,0.205,0.955,0.12,1.54,0.71,0.83,-4.39,-4.32,0.035,-4.355,0.51,-0.13,0.32,0.19,1.49,1.9,0.205,1.695,1.57,1.66,0.045,1.615,0.34,0.73,0.195,0.535,0.25
Rh_Ag,45,47,1,46,59,65,3,62,2.28,1.93,0.175,2.105,1.14,1.3,0.08,1.22,-1.9,-3.39,0.745,-2.645,-3.5,-4.4,0.45,-3.95,-3.32,0.97,2.145,-1.175,1.73,1.65,0.04,1.69,1.5,1.42,0.04,1.46,0.61,1.32,0.355,0.965,1.2
Cu_Sc,29,21,4,25,64,11,26.5,37.5,1.9,1.36,0.27,1.63,1.23,0.19,0.52,0.71,-1.6,1.05,1.325,-0.275,-4.61,-3.24,0.685,-3.925,1.36,-0.18,0.77,0.59,1.45,1.84,0.195,1.645,1.25,1.62,0.185,1.435,1.2,0.58,0.31,0.89,0.24
Pd_Y,46,39,3.5,42.5,62,12,25,37,2.2,1.22,0.49,1.71,0.56,0.31,0.125,0.435,-0.68,1.27,0.975,0.295,-4.12,-2.52,0.8,-3.32,-3.43,-0.99,1.22,-2.21,1.69,2.12,0.215,1.905,1.46,1.95,0.245,1.705,0.58,0.94,0.18,0.76,0.17
Rh_Nb,45,41,2,43,59,47,6,53,2.28,1.6,0.34,1.94,1.14,0.89,0.125,1.015,-1.9,3.59,2.745,0.845,-3.5,-4.62,0.56,-4.06,-3.32,-0.73,1.295,-2.025,1.73,1.98,0.125,1.855,1.5,1.73,0.115,1.615,0.61,0.77,0.08,0.69,0.13
Au_Re,79,75,2,77,66,54,6,60,2.54,1.9,0.32,2.22,2.31,0.15,1.08,1.23,-2.82,1.33,2.075,-0.745,-5.75,-5.37,0.19,-5.56,0.7,-0.27,0.485,0.215,1.74,1.88,0.07,1.81,1.44,1.55,0.055,1.495,1.23,0.75,0.24,0.99,1.4
Cr_V,24,23,0.5,23.5,49,46,1.5,47.5,1.66,1.63,0.015,1.645,0.67,0.52,0.075,0.595,2.7,3.73,0.515,3.215,-4.47,-4.47,0,-4.47,0.49,0.13,0.18,0.31,1.66,1.71,0.025,1.685,1.41,1.47,0.03,1.44,0.44,0.48,0.02,0.46,0.1
Co_Sc,27,21,3,24,58,11,23.5,34.5,1.88,1.36,0.26,1.62,0.66,0.19,0.235,0.425,-1.39,1.05,1.22,-0.17,-4.41,-3.24,0.585,-3.825,0.24,-0.18,0.21,0.03,1.52,1.84,0.16,1.68,1.61,1.62,0.005,1.615,0.36,0.58,0.11,0.47,0.7
Ag_Nb,47,41,3,44,65,47,9,56,1.93,1.6,0.165,1.765,1.3,0.89,0.205,1.095,-3.39,3.59,3.49,0.1,-4.4,-4.62,0.11,-4.51,0.97,-0.73,0.85,0.12,1.65,1.98,0.165,1.815,1.42,1.73,0.155,1.575,1.32,0.77,0.275,1.045,0.21
W_Ti,74,22,26,48,51,43,4,47,2.36,1.54,0.41,1.95,0.82,0.08,0.37,0.45,1.69,2.79,0.55,2.24,-4.49,-4.25,0.12,-4.37,-0.37,-0.17,0.1,-0.27,1.93,1.76,0.085,1.845,1.61,1.54,0.035,1.575,0.79,0.52,0.135,0.655,0.13
Ta_Zr,73,40,16.5,56.5,48,44,2,46,1.5,1.33,0.085,1.415,0.32,0.43,0.055,0.375,3.22,2.68,0.27,2.95,-3.6,-3.6,0,-3.6,-0.44,-0.53,0.045,-0.485,2,2.06,0.03,2.03,1.66,1.76,0.05,1.71,0.84,0.84,0,0.84,0.16
Hf_Y,72,39,16.5,55.5,45,12,16.5,28.5,1.3,1.22,0.04,1.26,0,0.31,0.155,0.155,3.47,1.27,1.1,2.37,-2.69,-2.52,0.085,-2.605,-0.48,-0.99,0.255,-0.735,2.08,2.12,0.02,2.1,1.73,1.95,0.11,1.84,0.9,0.94,0.02,0.92,0.33
W_Hf,74,72,1,73,51,45,3,48,2.36,1.3,0.53,1.83,0.82,0,0.41,0.41,1.69,3.47,0.89,2.58,-4.49,-2.69,0.9,-3.59,-0.37,-0.48,0.055,-0.425,1.93,2.08,0.075,2.005,1.61,1.73,0.06,1.67,0.79,0.9,0.055,0.845,0.14
Ni_Re,28,75,23.5,51.5,61,54,3.5,57.5,1.91,1.9,0.005,1.905,1.16,0.15,0.505,0.655,0.12,1.33,0.605,0.725,-4.39,-5.37,0.49,-4.88,0.51,-0.27,0.39,0.12,1.49,1.88,0.195,1.685,1.57,1.55,0.01,1.56,0.34,0.75,0.205,0.545,0.14
