Sample,0,1,2,3,4,5
Ti_Zr,7.434762978,2.419611446,2.692317703,9.933610162,3.07329891,3.421281195
Ti_Nb,4.214733982,1.614453106,1.992544021,6.288337962,2.012085673,2.324316437
Ti_Rh,3.955780471,1.792776417,1.699905338,4.157054643,2.234220437,2.231804514
Ti_Pd,4.765090684,1.903248692,1.869340837,4.670673583,2.533487511,2.469450532
Ti_Hf,8.943707667,2.836758816,3.107808746,11.28025426,3.587297962,3.921780884
Ti_Ta,5.402136352,2.203577463,2.257534909,7.464746746,2.721874101,3.011784842
Ti_W,1.64897099,1.208826927,1.270296434,3.231195812,1.264149726,1.600970096
Ti_Re,3.38564122,1.95712562,1.902296826,6.375356719,2.669675601,2.723121772
Ti_Os,-0.256457377,1.003880551,1.33474458,2.560365411,1.411371847,1.198878088
Ti_Ir,1.230355972,1.416520423,1.776591533,2.726179551,1.871960054,1.628301696
Ti_Pt,2.727095998,1.692819726,1.910860545,2.701636155,2.201992121,1.900524655
V_Fe,1.471574722,0.850231823,0.51144351,1.429805679,1.365432833,1.884866364
V_Y,63.7679214,7.74658205,7.933342219,71.03760654,10.80597721,11.10372207
V_Zr,6.991992352,2.560997371,2.783343257,9.943239452,3.213143468,3.537604118
V_Nb,2.443480607,1.264180451,1.651406486,4.326837302,1.215257202,1.661674256
V_Ru,1.27122401,1.40228841,1.252249428,1.477221131,1.208551612,1.306474301
V_Rh,2.37403099,1.521274439,1.24579043,2.534527014,1.709413828,1.700704277
V_Ag,14.71460479,3.36573883,3.265898458,13.94333932,4.742828674,4.834714824
V_Hf,8.718853997,2.976818685,3.167776997,11.57113858,3.738028674,4.051526889
V_W,0.135228321,0.828760622,0.795909382,1.499311671,0.682458685,0.655464709
V_Re,0.001727689,0.993331118,0.75454378,2.322063527,0.965444276,1.072688276
V_Ir,-0.266425674,1.000474048,1.394608465,1.444154259,1.133469964,0.642631391
V_Pt,2.645387243,1.695307346,1.968318863,2.862016504,2.070391763,1.967558646
V_Au,11.31712597,2.886840419,3.139691212,11.08878022,4.108293087,4.222261382
