Sample,Z_1,Z_2,Z_,Z+,Nmen_1,Nmen_2,Nmen_,Nmen+,X_1,X_2,X_,X+,I1_1,I1_2,I1_1_,I1_1+,ε_1,ε_2,ε_,ε+,dband_1,dband_2,dband_,dband+,HOMO_1,HOMO_2,HOMO_,HOMO+,LUMO_1,LUMO_2,LUMO_,LUMO+,R_1,R_2,R_,R+,Rp_1,Rp_2,Rp_,Rp+,Rv_1,Rv_2,Rv_,Rv+,r
Pt_Nb,78,41,18.5,59.5,63,47,8,55,2.28,1.6,0.34,1.94,9.02,6.76,1.13,7.89,2.13,0.89,0.62,1.51,-1.23,3.59,2.41,1.18,-5.31,-4.62,0.345,-4.965,0.82,-0.73,0.775,0.045,1.77,1.98,0.105,1.875,1.47,1.73,0.13,1.6,0.67,0.77,0.05,0.72,2.94 
Cu_Ir,29,77,24,53,64,60,2,62,1.9,2.2,0.15,2.05,7.73,9.12,0.695,8.425,1.23,1.57,0.17,1.4,-1.6,-2.48,0.44,-2.04,-4.61,-5.69,0.54,-5.15,1.36,0.51,0.425,0.935,1.45,1.8,0.175,1.625,1.25,1.47,0.11,1.36,1.2,0.69,0.255,0.945,2.41 
Fe_Re,26,75,24.5,50.5,55,54,0.5,54.5,1.83,1.9,0.035,1.865,7.9,7.88,0.01,7.89,0.16,0.15,0.005,0.155,1.44,1.33,0.055,1.385,-4.42,-5.37,0.475,-4.895,-0.53,-0.27,0.13,-0.4,1.56,1.88,0.16,1.72,1.71,1.55,0.08,1.63,0.38,0.75,0.185,0.565,3.30 
Cr_W,24,74,25,49,49,51,1,50,1.66,2.36,0.35,2.01,6.77,7.98,0.605,7.375,0.67,0.82,0.075,0.745,2.7,1.69,0.505,2.195,-4.47,-4.49,0.01,-4.48,0.49,-0.37,0.43,0.06,1.66,1.93,0.135,1.795,1.41,1.61,0.1,1.51,0.44,0.79,0.175,0.615,4.05 
Rh_Ru,45,44,0.5,44.5,59,56,1.5,57.5,2.28,2.2,0.04,2.24,7.46,7.36,0.05,7.41,1.14,1.05,0.045,1.095,-1.9,0.47,1.185,-0.715,-3.5,-3.6,0.05,-3.55,-3.32,1.11,2.215,-1.105,1.73,1.78,0.025,1.755,1.5,1.55,0.025,1.525,0.61,0.65,0.02,0.63,3.05 
Mn_Ta,25,73,24,49,52,48,2,50,1.55,1.5,0.025,1.525,7.43,7.89,0.23,7.66,0,0.32,0.16,0.16,-0.37,3.22,1.795,1.425,-4.4,-3.6,0.4,-4,1.83,-0.44,1.135,0.695,1.61,2,0.195,1.805,1.26,1.66,0.2,1.46,0.41,0.84,0.215,0.625,3.54 
Cu_Pd,29,46,8.5,37.5,64,62,1,63,1.9,2.2,0.15,2.05,7.73,8.34,0.305,8.035,1.23,0.56,0.335,0.895,-1.6,-0.68,0.46,-1.14,-4.61,-4.12,0.245,-4.365,1.36,-3.43,2.395,-1.035,1.45,1.69,0.12,1.57,1.25,1.46,0.105,1.355,1.2,0.58,0.31,0.89,2.17 
Ru_Y,44,39,2.5,41.5,56,12,22,34,2.2,1.22,0.49,1.71,7.36,6.22,0.57,6.79,1.05,0.31,0.37,0.68,0.47,1.27,0.4,0.87,-3.6,-2.52,0.54,-3.06,1.11,-0.99,1.05,0.06,1.78,2.12,0.17,1.95,1.55,1.95,0.2,1.75,0.65,0.94,0.145,0.795,1.99 
Pd_Rh,46,45,0.5,45.5,62,59,1.5,60.5,2.2,2.28,0.04,2.24,8.34,7.46,0.44,7.9,0.56,1.14,0.29,0.85,-0.68,-1.9,0.61,-1.29,-4.12,-3.5,0.31,-3.81,-3.43,-3.32,0.055,-3.375,1.69,1.73,0.02,1.71,1.46,1.5,0.02,1.48,0.58,0.61,0.015,0.595,2.43 
Ni_Cr,28,24,2,26,61,49,6,55,1.91,1.66,0.125,1.785,7.64,6.77,0.435,7.205,1.16,0.67,0.245,0.915,0.12,2.7,1.29,1.41,-4.39,-4.47,0.04,-4.43,0.51,0.49,0.01,0.5,1.49,1.66,0.085,1.575,1.57,1.41,0.08,1.49,0.34,0.44,0.05,0.39,3.37 
