Sample,Z_1,Z_2,Z_,Z+,Nmen_1,Nmen_2,Nmen_,Nmen+,X_1,X_2,X_,X+,I1_1,I1_2,I1_1_,I1_1+,ε_1,ε_2,ε_,ε+,dband_1,dband_2,dband_,dband+,HOMO_1,HOMO_2,HOMO_,HOMO+,LUMO_1,LUMO_2,LUMO_,LUMO+,R_1,R_2,R_,R+,Rp_1,Rp_2,Rp_,Rp+,Rv_1,Rv_2,Rv_,Rv+,r
Pt_YE,39,78,19.5,58.5,12,63,25.5,37.5,1.22,2.28,0.53,1.75,6.22,9.02,1.4,7.62,0.31,2.13,0.91,1.22,1.27,-1.23,1.25,0.02,-2.52,-5.31,1.395,-3.915,-0.99,0.82,0.905,-0.085,2.12,1.77,0.175,1.945,1.95,1.47,0.24,1.71,0.94,0.67,0.135,0.805,1.49 
Pd_OsE,76,46,15,61,57,62,2.5,59.5,2.2,2.2,0,2.2,8.71,8.34,0.185,8.525,1.1,0.56,0.27,0.83,-0.3,-0.68,0.19,-0.49,-6.01,-4.12,0.945,-5.065,-0.07,-3.43,1.68,-1.75,1.85,1.69,0.08,1.77,1.51,1.46,0.025,1.485,0.72,0.58,0.07,0.65,2.43 
Fe_TiE,22,26,2,24,43,55,6,49,1.54,1.83,0.145,1.685,6.83,7.9,0.535,7.365,0.08,0.16,0.04,0.12,2.79,1.44,0.675,2.115,-4.25,-4.42,0.085,-4.335,-0.17,-0.53,0.18,-0.35,1.76,1.56,0.1,1.66,1.54,1.71,0.085,1.625,0.52,0.38,0.07,0.45,3.28 
Fe_WE,74,26,24,50,51,55,2,53,2.36,1.83,0.265,2.095,7.98,7.9,0.04,7.94,0.82,0.16,0.33,0.49,1.69,1.44,0.125,1.565,-4.49,-4.42,0.035,-4.455,-0.37,-0.53,0.08,-0.45,1.93,1.56,0.185,1.745,1.61,1.71,0.05,1.66,0.79,0.38,0.205,0.585,3.43 
Ag_NbE,41,47,3,44,47,65,9,56,1.6,1.93,0.165,1.765,6.76,7.58,0.41,7.17,0.89,1.3,0.205,1.095,3.59,-3.39,3.49,0.1,-4.62,-4.4,0.11,-4.51,-0.73,0.97,0.85,0.12,1.98,1.65,0.165,1.815,1.73,1.42,0.155,1.575,0.77,1.32,0.275,1.045,2.26 
Ta_ZrE,40,73,16.5,56.5,44,48,2,46,1.33,1.5,0.085,1.415,6.63,7.89,0.63,7.26,0.43,0.32,0.055,0.375,2.68,3.22,0.27,2.95,-3.6,-3.6,0,-3.6,-0.53,-0.44,0.045,-0.485,2.06,2,0.03,2.03,1.76,1.66,0.05,1.71,0.84,0.84,0,0.84,2.36 
Rh_MoE,42,45,1.5,43.5,50,59,4.5,54.5,2.16,2.28,0.06,2.22,7.09,7.46,0.185,7.275,0.75,1.14,0.195,0.945,1.54,-1.9,1.72,-0.18,-4.32,-3.5,0.41,-3.91,-0.13,-3.32,1.595,-1.725,1.9,1.73,0.085,1.815,1.66,1.5,0.08,1.58,0.73,0.61,0.06,0.67,3.24 
Au_AgE,47,79,16,63,65,66,0.5,65.5,1.93,2.54,0.305,2.235,7.58,9.23,0.825,8.405,1.3,2.31,0.505,1.805,-3.39,-2.82,0.285,-3.105,-4.4,-5.75,0.675,-5.075,0.97,0.7,0.135,0.835,1.65,1.74,0.045,1.695,1.42,1.44,0.01,1.43,1.32,1.23,0.045,1.275,1.37 
Au_CuE,29,79,25,54,64,66,1,65,1.9,2.54,0.32,2.22,7.73,9.23,0.75,8.48,1.23,2.31,0.54,1.77,-1.6,-2.82,0.61,-2.21,-4.61,-5.75,0.57,-5.18,1.36,0.7,0.33,1.03,1.45,1.74,0.145,1.595,1.25,1.44,0.095,1.345,1.2,1.23,0.015,1.215,1.78 
Ni_MoE,42,28,7,35,50,61,5.5,55.5,2.16,1.91,0.125,2.035,7.09,7.64,0.275,7.365,0.75,1.16,0.205,0.955,1.54,0.12,0.71,0.83,-4.32,-4.39,0.035,-4.355,-0.13,0.51,0.32,0.19,1.9,1.49,0.205,1.695,1.66,1.57,0.045,1.615,0.73,0.34,0.195,0.535,3.17 
Re_HfE,72,75,1.5,73.5,45,54,4.5,49.5,1.3,1.9,0.3,1.6,6.83,7.88,0.525,7.355,0,0.15,0.075,0.075,3.47,1.33,1.07,2.4,-2.69,-5.37,1.34,-4.03,-0.48,-0.27,0.105,-0.375,2.08,1.88,0.1,1.98,1.73,1.55,0.09,1.64,0.9,0.75,0.075,0.825,3.19 
Re_ZrE,40,75,17.5,57.5,44,54,5,49,1.33,1.9,0.285,1.615,6.63,7.88,0.625,7.255,0.43,0.15,0.14,0.29,2.68,1.33,0.675,2.005,-3.6,-5.37,0.885,-4.485,-0.53,-0.27,0.13,-0.4,2.06,1.88,0.09,1.97,1.76,1.55,0.105,1.655,0.84,0.75,0.045,0.795,2.99 
Ru_ZrE,40,44,2,42,44,56,6,50,1.33,2.2,0.435,1.765,6.63,7.36,0.365,6.995,0.43,1.05,0.31,0.74,2.68,0.47,1.105,1.575,-3.6,-3.6,0,-3.6,-0.53,1.11,0.82,0.29,2.06,1.78,0.14,1.92,1.76,1.55,0.105,1.655,0.84,0.65,0.095,0.745,2.73 
Co_RuE,44,27,8.5,35.5,56,58,1,57,2.2,1.88,0.16,2.04,7.36,7.88,0.26,7.62,1.05,0.66,0.195,0.855,0.47,-1.39,0.93,-0.46,-3.6,-4.41,0.405,-4.005,1.11,0.24,0.435,0.675,1.78,1.52,0.13,1.65,1.55,1.61,0.03,1.58,0.65,0.36,0.145,0.505,3.06 
Cu_CoE,27,29,1,28,58,64,3,61,1.88,1.9,0.01,1.89,7.88,7.73,0.075,7.805,0.66,1.23,0.285,0.945,-1.39,-1.6,0.105,-1.495,-4.41,-4.61,0.1,-4.51,0.24,1.36,0.56,0.8,1.52,1.45,0.035,1.485,1.61,1.25,0.18,1.43,0.36,1.2,0.42,0.78,2.38 
Ir_OsE,76,77,0.5,76.5,57,60,1.5,58.5,2.2,2.2,0,2.2,8.71,9.12,0.205,8.915,1.1,1.57,0.235,1.335,-0.3,-2.48,1.09,-1.39,-6.01,-5.69,0.16,-5.85,-0.07,0.51,0.29,0.22,1.85,1.8,0.025,1.825,1.51,1.47,0.02,1.49,0.72,0.69,0.015,0.705,3.48 
Mn_HfE,72,25,23.5,48.5,45,52,3.5,48.5,1.3,1.55,0.125,1.425,6.83,7.43,0.3,7.13,0,0,0,0,3.47,-0.37,1.92,1.55,-2.69,-4.4,0.855,-3.545,-0.48,1.83,1.155,0.675,2.08,1.61,0.235,1.845,1.73,1.26,0.235,1.495,0.9,0.41,0.245,0.655,2.49 
Os_WE,74,76,1,75,51,57,3,54,2.36,2.2,0.08,2.28,7.98,8.71,0.365,8.345,0.82,1.1,0.14,0.96,1.69,-0.3,0.995,0.695,-4.49,-6.01,0.76,-5.25,-0.37,-0.07,0.15,-0.22,1.93,1.85,0.04,1.89,1.61,1.51,0.05,1.56,0.79,0.72,0.035,0.755,3.47 
Re_WE,74,75,0.5,74.5,51,54,1.5,52.5,2.36,1.9,0.23,2.13,7.98,7.88,0.05,7.93,0.82,0.15,0.335,0.485,1.69,1.33,0.18,1.51,-4.49,-5.37,0.44,-4.93,-0.37,-0.27,0.05,-0.32,1.93,1.88,0.025,1.905,1.61,1.55,0.03,1.58,0.79,0.75,0.02,0.77,3.48 
Mo_TiE,22,42,10,32,43,50,3.5,46.5,1.54,2.16,0.31,1.85,6.83,7.09,0.13,6.96,0.08,0.75,0.335,0.415,2.79,1.54,0.625,2.165,-4.25,-4.32,0.035,-4.285,-0.17,-0.13,0.02,-0.15,1.76,1.9,0.07,1.83,1.54,1.66,0.06,1.6,0.52,0.73,0.105,0.625,3.01 
Ag_PdE,46,47,0.5,46.5,62,65,1.5,63.5,2.2,1.93,0.135,2.065,8.34,7.58,0.38,7.96,0.56,1.3,0.37,0.93,-0.68,-3.39,1.355,-2.035,-4.12,-4.4,0.14,-4.26,-3.43,0.97,2.2,-1.23,1.69,1.65,0.02,1.67,1.46,1.42,0.02,1.44,0.58,1.32,0.37,0.95,1.67 
Cu_ScE,21,29,4,25,11,64,26.5,37.5,1.36,1.9,0.27,1.63,6.56,7.73,0.585,7.145,0.19,1.23,0.52,0.71,1.05,-1.6,1.325,-0.275,-3.24,-4.61,0.685,-3.925,-0.18,1.36,0.77,0.59,1.84,1.45,0.195,1.645,1.62,1.25,0.185,1.435,0.58,1.2,0.31,0.89,1.72 
