Sample,0,1,2,3,4,5,r
Fe_WE,0.118673948,1.023861446,0.484409954,1.858949986,0.693262377,0.302174331,3.43 
Ag_NbE,16.34959963,3.494307691,3.412978943,15.771426,4.941812594,5.030817298,2.26 
Ta_ZrE,8.476840343,2.631182365,2.669029026,10.25148849,3.292694954,3.450629257,2.36 
Rh_MoE,2.592047197,1.281726913,1.392724941,2.678112066,1.419859689,1.377161874,3.24 
Au_AgE,19.25148274,3.403885467,3.789498932,17.22466381,4.969343573,5.274594657,1.37 
Au_CuE,18.60198464,3.214795968,3.578644813,15.75695212,4.747906092,5.15247862,1.78 
Ni_MoE,3.409570195,1.526155409,1.584542987,3.434533301,2.22544715,2.188036498,3.17 
Re_HfE,6.884861972,2.557693972,2.486816211,9.0489147,3.366775472,3.47272917,3.19 
Re_ZrE,5.456286293,2.351330865,2.297179668,8.553067049,3.109883361,3.187199729,2.99 
Ru_ZrE,6.471675285,2.457566979,2.336401968,6.715103725,3.035310074,3.036732615,2.73 
Co_RuE,4.845092023,1.652282762,1.876565568,4.09853001,2.347155985,2.593724522,3.06 
Cu_CoE,11.14847138,2.645638538,2.998341263,10.37606745,3.930603132,4.083759034,2.38 
Ir_OsE,0.723404417,0.989423193,1.076839371,2.469751335,0.612839953,1.245558599,3.48 
Mn_HfE,7.240722435,2.770159767,2.785279956,9.010009067,3.503276298,3.699007926,2.49 
Os_WE,-2.171994461,1.354372518,1.354784832,0.123134655,1.587207761,0.306203591,3.47 
Re_WE,-0.832407192,1.120092799,0.630094696,0.897168964,1.227070506,0.562373246,3.48 
Mo_TiE,2.577926956,1.344042098,1.635738247,3.921328696,1.600638791,1.786606236,3.01 
Ag_PdE,18.56735468,3.718588982,3.834898933,17.10446294,5.183262134,5.417931887,1.67 
Cu_ScE,22.77498633,4.338718396,4.477150663,20.9100204,6.14686756,6.14062784,1.72 
